               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.075381,           0.0094994,            0.038254,             0.42698,             0.53813,             0.48933,             0.34475,            0.066718,           0.0074728,             0.03519,           0.0043809,           0.0043809,           0.0043809
                 118,            0.074708,            0.009533,            0.037621,             0.42554,             0.54129,             0.48981,              0.3441,            0.066708,           0.0074706,             0.03514,           0.0043126,           0.0043126,           0.0043126
                 119,            0.074561,           0.0094629,            0.037312,             0.42372,             0.54051,             0.49144,             0.34632,            0.066682,           0.0074621,            0.035088,           0.0042445,           0.0042445,           0.0042445
                 120,            0.073847,           0.0095357,            0.037499,             0.42746,             0.53836,             0.49217,             0.34714,            0.066662,           0.0074595,            0.035046,           0.0041768,           0.0041768,           0.0041768
                 121,            0.075131,           0.0094691,            0.037635,             0.42923,             0.54301,             0.49306,             0.34746,            0.066657,           0.0074489,            0.034994,           0.0041094,           0.0041094,           0.0041094
                 122,            0.074694,           0.0094609,            0.037383,             0.44186,             0.52941,             0.49346,             0.34798,            0.066652,           0.0074592,            0.034942,           0.0040424,           0.0040424,           0.0040424
                 123,            0.074393,           0.0095008,            0.037397,              0.4377,              0.5373,             0.49595,             0.35013,            0.066635,           0.0074472,            0.034895,           0.0039757,           0.0039757,           0.0039757
                 124,            0.074988,           0.0093402,            0.036638,             0.53031,             0.47619,             0.49477,             0.34919,             0.06662,           0.0074323,            0.034853,           0.0039094,           0.0039094,           0.0039094
                 125,             0.07467,           0.0095296,            0.037316,             0.44216,             0.53241,             0.49641,             0.35058,            0.066579,           0.0074315,            0.034815,           0.0038434,           0.0038434,           0.0038434
                 126,            0.074296,           0.0094825,            0.036762,             0.52457,             0.48406,             0.49861,             0.35212,            0.066555,           0.0074281,            0.034779,           0.0037779,           0.0037779,           0.0037779
                 127,            0.074995,           0.0095175,            0.037041,             0.53417,             0.48069,             0.49835,             0.35227,            0.066527,           0.0074252,            0.034745,           0.0037128,           0.0037128,           0.0037128
                 128,            0.074482,           0.0094559,            0.036778,             0.44931,             0.52306,             0.49841,             0.35198,            0.066493,            0.007422,            0.034718,           0.0036482,           0.0036482,           0.0036482
                 129,            0.073934,           0.0094153,            0.036435,             0.46213,             0.51292,             0.49828,             0.35216,            0.066519,           0.0074284,            0.034688,            0.003584,            0.003584,            0.003584
                 130,            0.074243,           0.0095291,            0.036373,              0.4738,             0.50407,             0.50006,             0.35335,            0.066497,           0.0074446,            0.034655,           0.0035203,           0.0035203,           0.0035203
                 131,            0.073771,           0.0094284,            0.036258,             0.45614,              0.5209,             0.49966,             0.35355,            0.066486,           0.0074234,             0.03462,            0.003457,            0.003457,            0.003457
                 132,            0.073774,           0.0091823,            0.036291,             0.45594,             0.52308,             0.50185,             0.35563,            0.066465,           0.0074107,            0.034586,           0.0033943,           0.0033943,           0.0033943
                 133,            0.073549,            0.009342,            0.035967,             0.50211,             0.48949,             0.50332,             0.35712,            0.066452,           0.0074157,            0.034548,           0.0033321,           0.0033321,           0.0033321
                 134,            0.073928,           0.0093662,            0.035853,             0.46534,             0.51682,             0.50428,             0.35772,            0.066439,           0.0074055,            0.034516,           0.0032704,           0.0032704,           0.0032704
                 135,            0.074525,           0.0093516,            0.035861,             0.46713,             0.51787,             0.50466,             0.35784,            0.066423,           0.0073983,            0.034482,           0.0032093,           0.0032093,           0.0032093
                 136,            0.073763,           0.0093862,            0.035573,             0.46909,             0.51669,              0.5061,             0.35893,            0.066399,           0.0074072,            0.034448,           0.0031488,           0.0031488,           0.0031488
                 137,            0.074224,            0.009502,            0.035352,             0.47005,             0.51593,             0.50639,             0.35915,            0.066384,           0.0073818,            0.034414,           0.0030888,           0.0030888,           0.0030888
                 138,            0.073986,           0.0091749,            0.035565,             0.47194,             0.51515,             0.50733,              0.3598,            0.066366,           0.0073714,            0.034387,           0.0030294,           0.0030294,           0.0030294
                 139,             0.07332,           0.0092147,            0.035221,             0.47368,             0.51494,             0.50756,             0.35986,            0.066347,           0.0073945,             0.03436,           0.0029706,           0.0029706,           0.0029706
                 140,            0.073509,           0.0093124,            0.035486,             0.47453,             0.51598,             0.50739,             0.35993,            0.066324,           0.0073941,            0.034335,           0.0029125,           0.0029125,           0.0029125
                 141,            0.072427,           0.0093042,            0.035043,             0.48649,             0.50847,             0.50749,             0.36011,            0.066298,           0.0073885,            0.034307,            0.002855,            0.002855,            0.002855
                 142,            0.074041,           0.0091968,            0.034997,             0.48808,             0.50896,             0.50808,             0.36074,            0.066282,           0.0073966,            0.034281,           0.0027981,           0.0027981,           0.0027981
                 143,            0.072381,           0.0093375,            0.034956,             0.49007,             0.50895,             0.50866,             0.36114,            0.066271,           0.0073779,            0.034252,           0.0027419,           0.0027419,           0.0027419
                 144,            0.072978,           0.0092362,            0.034772,             0.48969,              0.5089,             0.50894,             0.36104,            0.066259,           0.0073795,            0.034222,           0.0026864,           0.0026864,           0.0026864
                 145,            0.074297,           0.0093236,            0.034902,             0.48529,             0.51053,             0.50978,             0.36159,            0.066253,           0.0074107,            0.034188,           0.0026316,           0.0026316,           0.0026316
                 146,            0.073203,             0.00911,            0.034293,             0.48603,             0.51142,             0.51186,             0.36342,            0.066242,           0.0073815,            0.034161,           0.0025775,           0.0025775,           0.0025775
                 147,            0.073266,           0.0093475,            0.034223,             0.51121,             0.49993,             0.51323,             0.36437,            0.066231,           0.0073609,            0.034137,           0.0025241,           0.0025241,           0.0025241
                 148,             0.07274,           0.0091282,            0.034321,              0.5114,             0.50152,             0.51326,             0.36411,            0.066217,           0.0073801,            0.034106,           0.0024714,           0.0024714,           0.0024714
                 149,            0.072431,           0.0090969,            0.034062,             0.51359,             0.50099,             0.51409,             0.36459,            0.066203,           0.0073679,            0.034073,           0.0024195,           0.0024195,           0.0024195
                 150,            0.072654,            0.009203,            0.034116,              0.5178,             0.49868,             0.51554,             0.36547,            0.066185,           0.0073609,            0.034044,           0.0023684,           0.0023684,           0.0023684
                 151,            0.072802,           0.0091185,            0.033739,             0.51771,             0.49866,             0.51596,             0.36625,            0.066167,           0.0073714,            0.034018,            0.002318,            0.002318,            0.002318
                 152,            0.072083,           0.0090861,            0.033824,             0.51836,             0.49824,             0.51754,             0.36698,            0.066154,           0.0073652,            0.033991,           0.0022684,           0.0022684,           0.0022684
                 153,             0.07245,           0.0091264,            0.033808,              0.5198,             0.49833,             0.51784,             0.36768,            0.066142,           0.0073578,            0.033962,           0.0022196,           0.0022196,           0.0022196
                 154,             0.07345,           0.0092512,            0.033687,             0.52478,             0.49777,             0.51853,             0.36795,            0.066132,           0.0073661,            0.033933,           0.0021717,           0.0021717,           0.0021717
